time	V(out_1)	V(out_2)	V(out_3)	V(out_4)
6.122035599746122e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.268178456888903e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.414321314031686e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.560464171174467e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.706607028317248e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.852749885460030e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.998892742602811e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.145035599745592e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.146035599745592e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.292178456888373e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.438321314031155e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.584464171173937e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.730607028316718e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.876749885459500e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
8.022892742602281e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
8.169035599745062e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
8.170035599745062e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
8.316178456887843e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
8.462321314030625e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
8.608464171173406e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
8.754607028316187e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
8.900749885458970e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
9.046892742601751e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
9.193035599744532e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
9.194035599744532e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
9.340178456887383e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
9.486321314030235e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
9.632464171173085e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
9.778607028315938e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
9.924749885458788e-04	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.007089274260164e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.021703559974449e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.021803559974449e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.036417845688743e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.051032131403037e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.065646417117331e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.080260702831625e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.094874988545919e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.109489274260213e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.124103559974507e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.124203559974507e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.138817845688801e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.153432131403095e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.168046417117389e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.182660702831683e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.197274988545977e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.211889274260271e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.226503559974565e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.226603559974565e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.241217845688859e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.255832131403153e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.270446417117447e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.285060702831741e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.299674988546035e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
