time	V(s)	V(s1)	V(s2)	V(s3)
1.085882148548418e-05	5.168530e-04	5.169715e-04	5.169038e-04	5.168350e-04
1.092739291405561e-05	5.213962e-04	5.215163e-04	5.214477e-04	5.213780e-04
1.099596434262704e-05	5.259947e-04	5.261165e-04	5.260469e-04	5.259762e-04
1.106453577119847e-05	5.306485e-04	5.307719e-04	5.307014e-04	5.306298e-04
1.113310719976989e-05	5.353575e-04	5.354825e-04	5.354112e-04	5.353386e-04
1.119453577119847e-05	5.396320e-04	5.397586e-04	5.396863e-04	5.396129e-04
1.125596434262704e-05	5.439881e-04	5.441162e-04	5.440430e-04	5.439687e-04
1.131739291405561e-05	5.484257e-04	5.485554e-04	5.484813e-04	5.484061e-04
1.137882148548418e-05	5.529450e-04	5.530761e-04	5.530012e-04	5.529251e-04
1.144025005691275e-05	5.575458e-04	5.576784e-04	5.576027e-04	5.575257e-04
1.150167862834132e-05	5.622281e-04	5.623623e-04	5.622857e-04	5.622078e-04
1.156310719976989e-05	5.669921e-04	5.671278e-04	5.670503e-04	5.669715e-04
1.162025005691275e-05	5.715123e-04	5.716495e-04	5.715711e-04	5.714915e-04
1.167739291405560e-05	5.761667e-04	5.763054e-04	5.762262e-04	5.761456e-04
1.173453577119846e-05	5.809553e-04	5.810955e-04	5.810154e-04	5.809340e-04
1.179167862834132e-05	5.858781e-04	5.860199e-04	5.859389e-04	5.858566e-04
1.184882148548417e-05	5.909351e-04	5.910784e-04	5.909966e-04	5.909134e-04
1.190596434262703e-05	5.961263e-04	5.962712e-04	5.961885e-04	5.961044e-04
1.196310719976989e-05	6.014518e-04	6.015982e-04	6.015146e-04	6.014296e-04
1.201882148548417e-05	6.067987e-04	6.069466e-04	6.068621e-04	6.067763e-04
1.207453577119846e-05	6.123896e-04	6.125391e-04	6.124538e-04	6.123670e-04
1.213025005691274e-05	6.182246e-04	6.183757e-04	6.182894e-04	6.182018e-04
1.218596434262703e-05	6.243037e-04	6.244563e-04	6.243692e-04	6.242806e-04
1.224167862834131e-05	6.306268e-04	6.307810e-04	6.306930e-04	6.306035e-04
1.229739291405560e-05	6.371940e-04	6.373498e-04	6.372608e-04	6.371704e-04
1.235310719976988e-05	6.440053e-04	6.441626e-04	6.440728e-04	6.439814e-04
1.240882148548417e-05	6.511067e-04	6.512657e-04	6.511749e-04	6.510825e-04
1.246453577119845e-05	6.586749e-04	6.588356e-04	6.587438e-04	6.586505e-04
1.252025005691274e-05	6.667100e-04	6.668723e-04	6.667796e-04	6.666853e-04
1.257596434262702e-05	6.752119e-04	6.753759e-04	6.752822e-04	6.751870e-04
1.263167862834131e-05	6.841807e-04	6.843464e-04	6.842517e-04	6.841555e-04
1.268739291405559e-05	6.936162e-04	6.937837e-04	6.936880e-04	6.935908e-04
1.274310719976988e-05	7.035186e-04	7.036879e-04	7.035912e-04	7.034930e-04
1.277596434262702e-05	7.096847e-04	7.098550e-04	7.097577e-04	7.096589e-04
1.280882148548416e-05	7.161195e-04	7.162908e-04	7.161930e-04	7.160935e-04
1.284167862834131e-05	7.228230e-04	7.229954e-04	7.228969e-04	7.227968e-04
1.287453577119845e-05	7.297953e-04	7.299687e-04	7.298697e-04	7.297689e-04
1.290739291405559e-05	7.370363e-04	7.372108e-04	7.371111e-04	7.370098e-04
1.294025005691273e-05	7.445460e-04	7.447216e-04	7.446213e-04	7.445193e-04
1.297310719976988e-05	7.523244e-04	7.525012e-04	7.524002e-04	7.522976e-04
1.298310719976988e-05	7.547747e-04	7.549518e-04	7.548507e-04	7.547478e-04
1.301310719976988e-05	7.624545e-04	7.626327e-04	7.625310e-04	7.624275e-04
1.311310719976988e-05	7.901354e-04	7.903169e-04	7.902132e-04	7.901078e-04
1.321310719976987e-05	8.273364e-04	8.275215e-04	8.274158e-04	8.273083e-04
1.331310719976987e-05	8.740577e-04	8.742467e-04	8.741387e-04	8.740291e-04
1.341310719976987e-05	9.302992e-04	9.304922e-04	9.303820e-04	9.302700e-04
1.351310719976987e-05	9.960609e-04	9.962583e-04	9.961456e-04	9.960310e-04
1.361310719976987e-05	1.071343e-03	1.071545e-03	1.071429e-03	1.071312e-03
1.371310719976987e-05	1.156145e-03	1.156352e-03	1.156234e-03	1.156114e-03
1.386453577119844e-05	1.306212e-03	1.306426e-03	1.306304e-03	1.306179e-03
1.401596434262701e-05	1.492848e-03	1.493072e-03	1.492944e-03	1.492815e-03
1.416739291405558e-05	1.716055e-03	1.716290e-03	1.716156e-03	1.716019e-03
1.431882148548415e-05	1.975831e-03	1.976079e-03	1.975938e-03	1.975794e-03
1.447025005691272e-05	2.272178e-03	2.272440e-03	2.272290e-03	2.272138e-03
1.462167862834129e-05	2.605094e-03	2.605373e-03	2.605213e-03	2.605052e-03
1.477310719976986e-05	2.974580e-03	2.974877e-03	2.974707e-03	2.974535e-03
1.503739291405560e-05	3.718529e-03	3.718862e-03	3.718672e-03	3.718479e-03
1.530167862834135e-05	4.616686e-03	4.617068e-03	4.616850e-03	4.616629e-03
1.556596434262710e-05	5.669050e-03	5.669495e-03	5.669241e-03	5.668983e-03
1.583025005691284e-05	6.875622e-03	6.876145e-03	6.875846e-03	6.875543e-03
1.609453577119858e-05	8.236400e-03	8.237015e-03	8.236664e-03	8.236308e-03
1.635882148548433e-05	9.751386e-03	9.752108e-03	9.751696e-03	9.751278e-03
1.662310719977007e-05	1.142058e-02	1.142142e-02	1.142094e-02	1.142045e-02
1.685596434262725e-05	1.303784e-02	1.303881e-02	1.303825e-02	1.303769e-02
1.708882148548443e-05	1.479494e-02	1.479605e-02	1.479541e-02	1.479477e-02
1.732167862834161e-05	1.669187e-02	1.669315e-02	1.669242e-02	1.669168e-02
1.755453577119879e-05	1.872865e-02	1.873011e-02	1.872927e-02	1.872843e-02
1.778739291405597e-05	2.090526e-02	2.090693e-02	2.090597e-02	2.090501e-02
1.802025005691315e-05	2.322171e-02	2.322361e-02	2.322252e-02	2.322142e-02
1.825310719977033e-05	2.567799e-02	2.568014e-02	2.567891e-02	2.567767e-02
1.846596434262751e-05	2.805297e-02	2.805537e-02	2.805400e-02	2.805261e-02
1.867882148548469e-05	3.055577e-02	3.055845e-02	3.055692e-02	3.055536e-02
1.889167862834186e-05	3.318639e-02	3.318936e-02	3.318766e-02	3.318593e-02
1.910453577119904e-05	3.594482e-02	3.594812e-02	3.594623e-02	3.594431e-02
1.931739291405622e-05	3.883107e-02	3.883473e-02	3.883263e-02	3.883051e-02
1.953025005691340e-05	4.184513e-02	4.184917e-02	4.184686e-02	4.184452e-02
1.974310719977057e-05	4.498702e-02	4.499146e-02	4.498892e-02	4.498634e-02
2.000000000000000e-05	4.895993e-02	4.896491e-02	4.896207e-02	4.895918e-02
2.000100000000000e-05	4.897574e-02	4.898072e-02	4.897787e-02	4.897499e-02
2.000300000000000e-05	4.900735e-02	4.901234e-02	4.900949e-02	4.900660e-02
2.027500000000004e-05	5.329950e-02	5.330510e-02	5.330190e-02	5.329866e-02
2.050357142857151e-05	5.689535e-02	5.690151e-02	5.689799e-02	5.689443e-02
2.073214285714297e-05	6.047873e-02	6.048548e-02	6.048162e-02	6.047772e-02
2.096071428571444e-05	6.404964e-02	6.405701e-02	6.405280e-02	6.404854e-02
2.118928571428590e-05	6.760809e-02	6.761612e-02	6.761153e-02	6.760688e-02
2.141785714285737e-05	7.115407e-02	7.116279e-02	7.115781e-02	7.115276e-02
2.164642857142883e-05	7.468758e-02	7.469703e-02	7.469163e-02	7.468616e-02
2.187500000000030e-05	7.820862e-02	7.821883e-02	7.821299e-02	7.820708e-02
2.218214285714320e-05	8.291827e-02	8.292956e-02	8.292310e-02	8.291657e-02
2.248928571428611e-05	8.760264e-02	8.761507e-02	8.760797e-02	8.760076e-02
2.279642857142902e-05	9.226173e-02	9.227536e-02	9.226757e-02	9.225968e-02
2.310357142857192e-05	9.689555e-02	9.691044e-02	9.690193e-02	9.689331e-02
2.341071428571483e-05	1.015041e-01	1.015203e-01	1.015110e-01	1.015016e-01
2.371785714285774e-05	1.060873e-01	1.061049e-01	1.060949e-01	1.060847e-01
2.402500000000064e-05	1.106453e-01	1.106644e-01	1.106535e-01	1.106425e-01
2.448785714285786e-05	1.174644e-01	1.174856e-01	1.174735e-01	1.174612e-01
2.495071428571508e-05	1.242257e-01	1.242494e-01	1.242358e-01	1.242221e-01
2.541357142857229e-05	1.309293e-01	1.309555e-01	1.309405e-01	1.309254e-01
2.587642857142951e-05	1.375753e-01	1.376041e-01	1.375876e-01	1.375709e-01
2.633928571428673e-05	1.441635e-01	1.441951e-01	1.441771e-01	1.441588e-01
2.680214285714394e-05	1.506941e-01	1.507286e-01	1.507089e-01	1.506889e-01
2.726500000000116e-05	1.571670e-01	1.572045e-01	1.571831e-01	1.571614e-01
2.772785714285838e-05	1.635830e-01	1.636237e-01	1.636004e-01	1.635770e-01
2.819071428571559e-05	1.699446e-01	1.699885e-01	1.699634e-01	1.699380e-01
2.865357142857281e-05	1.762516e-01	1.762988e-01	1.762718e-01	1.762446e-01
2.911642857143003e-05	1.825041e-01	1.825548e-01	1.825258e-01	1.824966e-01
2.957928571428724e-05	1.887021e-01	1.887563e-01	1.887253e-01	1.886940e-01
3.004214285714446e-05	1.948456e-01	1.949035e-01	1.948704e-01	1.948370e-01
3.050500000000168e-05	2.009345e-01	2.009962e-01	2.009609e-01	2.009254e-01
3.051500000000168e-05	2.010655e-01	2.011273e-01	2.010920e-01	2.010563e-01
