time	V(out)	V(outr)
6.119499999999470e-04	1.546977e-04	1.595344e-04
6.265642857142251e-04	2.137069e-04	2.199777e-04
6.411785714285033e-04	2.932931e-04	3.013343e-04
6.557928571427814e-04	3.934566e-04	4.036042e-04
6.704071428570595e-04	5.141971e-04	5.267873e-04
6.850214285713378e-04	6.555148e-04	6.708836e-04
6.996357142856159e-04	8.174097e-04	8.358931e-04
7.142499999998940e-04	9.998817e-04	1.021816e-03
7.143499999998940e-04	1.001255e-03	1.023215e-03
7.289642857141721e-04	1.211153e-03	1.236989e-03
7.435785714284503e-04	1.455447e-03	1.485700e-03
7.581928571427284e-04	1.734136e-03	1.769348e-03
7.728071428570065e-04	2.047220e-03	2.087933e-03
7.874214285712848e-04	2.394700e-03	2.441455e-03
8.020357142855629e-04	2.776576e-03	2.829913e-03
8.166499999998410e-04	3.192846e-03	3.253309e-03
8.167499999998409e-04	3.195869e-03	3.256383e-03
8.313642857141190e-04	3.654024e-03	3.722320e-03
8.459785714283973e-04	4.160307e-03	4.237154e-03
8.605928571426754e-04	4.714718e-03	4.800886e-03
8.752071428569535e-04	5.317256e-03	5.413516e-03
8.898214285712317e-04	5.967921e-03	6.075043e-03
9.044357142855098e-04	6.666715e-03	6.785469e-03
9.190499999997880e-04	7.413635e-03	7.544791e-03
9.191499999997879e-04	7.418965e-03	7.550209e-03
9.337642857140730e-04	8.221517e-03	8.366062e-03
9.483785714283581e-04	9.084483e-03	9.243317e-03
9.629928571426432e-04	1.000786e-02	1.018197e-02
9.776071428569282e-04	1.099166e-02	1.118203e-02
9.922214285712134e-04	1.203587e-02	1.224349e-02
1.006835714285499e-03	1.314049e-02	1.336636e-02
1.021449999999784e-03	1.430553e-02	1.455062e-02
1.021549999999784e-03	1.431375e-02	1.455898e-02
1.036164285714078e-03	1.554597e-02	1.581154e-02
1.050778571428371e-03	1.684806e-02	1.713513e-02
1.065392857142666e-03	1.822003e-02	1.852974e-02
1.080007142856960e-03	1.966188e-02	1.999538e-02
1.094621428571254e-03	2.117360e-02	2.153204e-02
1.109235714285547e-03	2.275519e-02	2.313974e-02
1.123849999999842e-03	2.440666e-02	2.481845e-02
1.123949999999842e-03	2.441823e-02	2.483021e-02
1.138564285714136e-03	2.614484e-02	2.658532e-02
1.153178571428429e-03	2.794681e-02	2.841701e-02
1.167792857142724e-03	2.982412e-02	3.032526e-02
1.182407142857018e-03	3.177679e-02	3.231008e-02
1.197021428571312e-03	3.380480e-02	3.437147e-02
1.211635714285605e-03	3.590817e-02	3.650943e-02
1.226249999999900e-03	3.808688e-02	3.872397e-02
1.226349999999900e-03	3.810206e-02	3.873939e-02
1.240964285714194e-03	4.035926e-02	4.103368e-02
1.255578571428487e-03	4.269261e-02	4.340527e-02
1.270192857142782e-03	4.510209e-02	4.585416e-02
1.284807142857076e-03	4.758772e-02	4.838036e-02
1.299421428571370e-03	5.014948e-02	5.098387e-02
1.314035714285663e-03	5.278739e-02	5.366469e-02
1.328649999999958e-03	5.550143e-02	5.642281e-02
1.328749999999958e-03	5.552026e-02	5.644194e-02
1.343364285714252e-03	5.831108e-02	5.927797e-02
1.357978571428545e-03	6.117406e-02	6.218715e-02
1.372592857142840e-03	6.410922e-02	6.516949e-02
1.387207142857134e-03	6.711654e-02	6.822498e-02
1.401821428571428e-03	7.019604e-02	7.135362e-02
1.416435714285721e-03	7.334770e-02	7.455542e-02
1.431050000000016e-03	7.657154e-02	7.783037e-02
1.431150000000016e-03	7.659382e-02	7.785300e-02
1.445764285714310e-03	7.988791e-02	8.119910e-02
1.460378571428603e-03	8.324601e-02	8.460989e-02
1.474992857142898e-03	8.666811e-02	8.808538e-02
1.489607142857192e-03	9.015421e-02	9.162556e-02
1.504221428571486e-03	9.370430e-02	9.523044e-02
1.518835714285779e-03	9.731840e-02	9.890002e-02
